5.1381,-1.4515,-2.1745,1
5.0907,-0.47162,-2.1382,1
5.0697,-0.50676,-2.1305,1
4.3377,-1.2602,-2.3108,1
4.4178,-1.3429,-2.2634,1
5.2076,-0.73651,-1.9704,2
5.3147,-0.79839,-1.9561,2
5.1994,-0.98287,-2.0911,2
5.1191,-0.95318,-2.1396,2
5.1091,-1.4678,-2.193,2
5.243,-0.98083,-1.9845,2
5.169,-0.99976,-2.1016,2
5.1352,-0.849,-2.1619,2
5.2226,-1.0161,-2.1177,2
5.185,-1.0897,-2.1512,3
4.5747,-1.1585,-2.2104,3
4.3253,-0.83149,-2.3695,3
4.3786,-1.0154,-2.395,3
5.002,-1.2784,-2.255,3
5.0211,-1.5292,-2.2738,3
4.9929,-1.3993,-2.311,3
5.114,-1.3169,-2.2179,3
5.0921,-1.2272,-2.1959,3
5.0877,-1.0775,-2.2548,3
4.9994,-1.2424,-2.3499,3
5.0685,-1.4764,-2.3301,3
4.9971,-1.7275,-2.4103,3
4.9694,-1.6942,-2.4123,3
4.9687,-1.783,-2.3884,3
4.7951,-0.48057,-2.1982,3
4.7569,-0.60468,-2.2169,3
4.7651,-0.61576,-2.0865,3
5.1467,-1.6291,-2.2948,3
4.9042,-1.2,-2.2848,3
4.9165,-0.94259,-2.2748,3
5.0728,-0.76361,-2.1454,3
5.1402,-1.236,-2.1411,3
5.1692,-1.3416,-2.1888,3
5.3311,-1.1987,-2.0471,3
5.3515,-0.89832,-2.05,3
5.1665,-0.85825,-1.6799,3
5.1925,-1.0939,-1.8623,3
5.3166,-0.94899,-1.828,3
5.3294,-0.96844,-1.7332,3
5.2548,-1.0024,-1.9276,3
5.0878,-0.99822,-1.759,3
5.1575,-1.1915,-2.0981,3
5.2759,-0.26746,-1.3242,2
5.3628,-0.27957,-1.3389,2
5.3066,-0.25309,-1.2562,2
5.2682,-0.34109,-1.3813,2
5.3042,-0.40564,-1.3837,2
5.1867,-0.34325,-1.443,2
5.2855,-0.50153,-1.4094,2
5.2981,-0.52882,-1.8203,2
5.218,-0.35755,-1.7501,2
5.2287,-0.35337,-1.7203,2
4.9902,-0.48766,-1.6119,2
5.3028,-0.53444,-1.7936,2
5.3883,-0.49264,-1.7371,2
5.3501,-0.46046,-1.7786,2
4.6187,-0.60844,-1.9088,2
4.6306,-0.71432,-1.9032,2
5.4086,-0.24932,-1.2635,2
5.4053,-0.56378,-1.7262,2
5.2826,-0.63706,-1.8257,2
5.2701,-1.0268,-1.4128,1
5.2194,-0.90986,-1.5114,1
5.2434,-0.91532,-1.6591,1
4.839,-1.1425,-1.8149,1
4.8002,-1.0504,-1.8549,1
5.2428,-0.45359,-1.7269,1
5.328,-0.60387,-1.8554,1
5.0738,-0.75974,-1.7074,1
5.2236,-0.97657,-1.6761,1
5.065,-0.98118,-1.6266,1
5.261,-0.54496,-1.7885,1
5.2582,-0.72747,-1.8204,1
5.2241,-0.89949,-1.55,1
5.0504,-0.91385,-1.7472,1
5.138,-0.18388,-1.7435,2
5.0224,-0.89088,-2.2472,1
5.1575,-0.91208,-2.0489,1
5.0774,-0.66356,-2.1587,1
5.2318,-0.76033,-2.0977,1
5.1456,-0.76258,-1.7498,1
4.5778,-0.70983,-1.9713,1
4.466,-0.73385,-1.9581,1
5.2104,-0.48324,-1.372,1
5.2506,-0.79684,-1.3747,1
5.2284,-0.75542,-1.5241,1
5.2762,-0.82684,-1.4245,1
5.3041,-0.6689,-1.3599,1
5.2974,-0.6373,-1.3506,1
5.3472,-0.55214,-1.287,1
5.3269,-0.58384,-1.268,1
4.8641,-0.68294,-1.7182,1
4.8312,-0.55157,-1.6929,1
4.8603,-0.51387,-1.6141,1
5.1462,-0.43193,-1.8659,2
5.2121,-0.5956,-1.6925,2
5.2212,-0.55473,-1.7895,2
5.19,-0.46457,-1.8324,2
5.4638,-0.73551,-1.8748,2
5.2044,-0.5151,-1.8252,2
4.957,-0.48165,-2.0173,2
5.1966,-0.81829,-1.7386,2
5.2998,-0.72609,-1.9633,2
4.3938,-0.35599,-2.062,3
4.4233,-0.14737,-2.0849,3
4.306,-0.25906,-2.1594,3
